datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-26 17:10:06.452660;Btn2;pressed;True
2021-01-26 17:10:09.381163;Btn1;pressed;True
2021-01-26 17:10:12.612550;Btn2;pressed;True
2021-01-26 17:10:15.582732;Btn1;pressed;True
2021-01-26 17:10:18.724307;Btn2;pressed;True
2021-01-26 17:10:21.528234;Btn1;pressed;True
2021-01-26 17:10:24.639288;Btn2;pressed;True
2021-01-26 17:10:27.555211;Btn1;pressed;True
2021-01-26 17:10:30.654813;Btn2;pressed;True
2021-01-26 17:10:33.555629;Btn1;pressed;True
2021-01-26 17:10:36.646776;Btn2;pressed;True
2021-01-26 17:10:39.564066;Btn1;pressed;True
2021-01-26 17:10:42.711909;Btn2;pressed;True
2021-01-26 17:10:45.667226;Btn1;pressed;True
2021-01-26 17:10:48.843951;Btn2;pressed;True
2021-01-26 17:10:51.719770;Btn1;pressed;True
2021-01-26 17:10:54.811271;Btn2;pressed;True
2021-01-26 17:10:57.679211;Btn1;pressed;True
2021-01-26 17:11:00.779714;Btn2;pressed;True
2021-01-26 17:11:03.682342;Btn1;pressed;True
2021-01-26 17:11:06.890334;Btn2;pressed;True
2021-01-26 17:11:09.815251;Btn1;pressed;True
2021-01-26 17:11:13.155212;Btn2;pressed;True
2021-01-26 17:11:15.928723;Btn1;pressed;True
2021-01-26 17:11:18.999275;Btn2;pressed;True
2021-01-26 17:11:21.951248;Btn1;pressed;True
2021-01-26 17:11:25.238400;Btn2;pressed;True
2021-01-26 17:11:27.947251;Btn1;pressed;True
2021-01-26 17:11:31.147472;Btn2;pressed;True
2021-01-26 17:11:33.915627;Btn1;pressed;True
2021-01-26 17:11:37.056258;Btn2;pressed;True
2021-01-26 17:11:39.987212;Btn1;pressed;True
2021-01-26 17:11:43.070434;Btn2;pressed;True
2021-01-26 17:11:45.872012;Btn1;pressed;True
2021-01-26 17:11:48.995952;Btn2;pressed;True
2021-01-26 17:11:51.969697;Btn1;pressed;True
2021-01-26 17:11:54.971237;Btn2;pressed;True
2021-01-26 17:11:57.863212;Btn1;pressed;True
2021-01-26 17:12:00.979251;Btn2;pressed;True
2021-01-26 17:12:03.952667;Btn1;pressed;True
2021-01-26 17:12:07.001015;Btn2;pressed;True
2021-01-26 17:12:09.928557;Btn1;pressed;True
2021-01-26 17:12:12.967257;Btn2;pressed;True
2021-01-26 17:12:15.857328;Btn1;pressed;True
2021-01-26 17:12:19.083224;Btn2;pressed;True
2021-01-26 17:12:21.951238;Btn1;pressed;True
2021-01-26 17:12:25.076570;Btn2;pressed;True
2021-01-26 17:12:27.923299;Btn1;pressed;True
2021-01-26 17:12:31.152443;Btn2;pressed;True
2021-01-26 17:12:34.191234;Btn1;pressed;True
2021-01-26 17:12:37.109118;Btn2;pressed;True
2021-01-26 17:12:40.103253;Btn1;pressed;True
2021-01-26 17:12:43.206698;Btn2;pressed;True
2021-01-26 17:12:46.087474;Btn1;pressed;True
2021-01-26 17:12:49.067821;Btn2;pressed;True
2021-01-26 17:12:51.928526;Btn1;pressed;True
2021-01-26 17:12:55.093748;Btn2;pressed;True
2021-01-26 17:12:58.049888;Btn1;pressed;True
2021-01-26 17:13:01.307212;Btn2;pressed;True
2021-01-26 17:13:04.239240;Btn1;pressed;True
2021-01-26 17:13:07.315246;Btn2;pressed;True
2021-01-26 17:13:10.261153;Btn1;pressed;True
2021-01-26 17:13:13.387242;Btn2;pressed;True
2021-01-26 17:13:16.221498;Btn1;pressed;True
2021-01-26 17:13:19.345091;Btn2;pressed;True
2021-01-26 17:13:22.378531;Btn1;pressed;True
2021-01-26 17:13:25.359989;Btn2;pressed;True
2021-01-26 17:13:28.323953;Btn1;pressed;True
2021-01-26 17:13:31.438195;Btn2;pressed;True
2021-01-26 17:13:34.323924;Btn1;pressed;True
2021-01-26 17:13:37.431211;Btn2;pressed;True
2021-01-26 17:13:40.369528;Btn1;pressed;True
2021-01-26 17:13:43.491772;Btn2;pressed;True
2021-01-26 17:13:46.415865;Btn1;pressed;True
2021-01-26 17:13:49.528255;Btn2;pressed;True
2021-01-26 17:13:52.415741;Btn1;pressed;True
2021-01-26 17:13:55.548170;Btn2;pressed;True
2021-01-26 17:13:58.439259;Btn1;pressed;True
2021-01-26 17:14:01.560295;Btn2;pressed;True
2021-01-26 17:14:04.410894;Btn1;pressed;True
2021-01-26 17:14:07.503456;Btn2;pressed;True
2021-01-26 17:14:10.415845;Btn1;pressed;True
2021-01-26 17:14:13.393170;Btn2;pressed;True
2021-01-26 17:14:16.374211;Btn1;pressed;True
2021-01-26 17:14:19.381235;Btn2;pressed;True
2021-01-26 17:14:22.380177;Btn1;pressed;True
2021-01-26 17:14:25.543981;Btn2;pressed;True
2021-01-26 17:14:28.367224;Btn1;pressed;True
2021-01-26 17:14:31.528043;Btn2;pressed;True
2021-01-26 17:14:34.390904;Btn1;pressed;True
2021-01-26 17:14:37.455231;Btn2;pressed;True
2021-01-26 17:14:40.403211;Btn1;pressed;True
2021-01-26 17:14:43.596601;Btn2;pressed;True
2021-01-26 17:14:46.547966;Btn1;pressed;True
2021-01-26 17:14:49.650038;Btn2;pressed;True
2021-01-26 17:14:52.606658;Btn1;pressed;True
2021-01-26 17:14:55.777616;Btn2;pressed;True
2021-01-26 17:14:58.763221;Btn1;pressed;True
2021-01-26 17:15:02.039214;Btn2;pressed;True
2021-01-26 17:15:04.707284;Btn1;pressed;True
2021-01-26 17:15:07.916139;Btn2;pressed;True
2021-01-26 17:15:10.803246;Btn1;pressed;True
2021-01-26 17:15:13.887213;Btn2;pressed;True
2021-01-26 17:15:16.657236;Btn1;pressed;True
2021-01-26 17:15:19.915246;Btn2;pressed;True
2021-01-26 17:15:22.871213;Btn1;pressed;True
2021-01-26 17:15:25.855488;Btn2;pressed;True
2021-01-26 17:15:28.757467;Btn1;pressed;True
2021-01-26 17:15:31.907942;Btn2;pressed;True
2021-01-26 17:15:34.875249;Btn1;pressed;True
2021-01-26 17:15:37.963210;Btn2;pressed;True
2021-01-26 17:15:40.889082;Btn1;pressed;True
2021-01-26 17:15:43.892489;Btn2;pressed;True
2021-01-26 17:15:46.786516;Btn1;pressed;True
2021-01-26 17:15:49.920250;Btn2;pressed;True
2021-01-26 17:15:52.795261;Btn1;pressed;True
2021-01-26 17:15:55.899209;Btn2;pressed;True
2021-01-26 17:15:58.866123;Btn1;pressed;True
2021-01-26 17:16:02.035260;Btn2;pressed;True
2021-01-26 17:16:04.883273;Btn1;pressed;True
2021-01-26 17:16:08.015212;Btn2;pressed;True
